,non_informative_units_in_structure_attributes
0,Geography
1,Geographic Area Name
2,Annotation of Estimate!!Total:
3,Margin of Error!!Total:
4,Annotation of Margin of Error!!Total:
5,"Annotation of Estimate!!Total:!!1, detached"
6,"Margin of Error!!Total:!!1, detached"
7,"Annotation of Margin of Error!!Total:!!1, detached"
8,"Margin of Error!!Total:!!1, attached"
9,"Annotation of Margin of Error!!Total:!!1, attached"
10,"Annotation of Estimate!!Total:!!1, attached"
11,Margin of Error!!Total:!!2
12,Annotation of Margin of Error!!Total:!!2
13,Annotation of Estimate!!Total:!!2
14,Annotation of Estimate!!Total:!!3 or 4
15,Margin of Error!!Total:!!3 or 4
16,Annotation of Margin of Error!!Total:!!3 or 4
17,Annotation of Estimate!!Total:!!5 to 9
18,Margin of Error!!Total:!!5 to 9
19,Annotation of Margin of Error!!Total:!!5 to 9
20,Margin of Error!!Total:!!10 to 19
21,Annotation of Margin of Error!!Total:!!10 to 19
22,Annotation of Estimate!!Total:!!10 to 19
23,Margin of Error!!Total:!!20 to 49
24,Annotation of Margin of Error!!Total:!!20 to 49
25,Annotation of Estimate!!Total:!!20 to 49
26,Margin of Error!!Total:!!50 or more
27,Annotation of Margin of Error!!Total:!!50 or more
28,Annotation of Estimate!!Total:!!50 or more
29,Estimate!!Total:!!Mobile home
30,Annotation of Estimate!!Total:!!Mobile home
31,Margin of Error!!Total:!!Mobile home
32,Annotation of Margin of Error!!Total:!!Mobile home
33,"Estimate!!Total:!!Boat, RV, van, etc."
34,"Annotation of Estimate!!Total:!!Boat, RV, van, etc."
35,"Margin of Error!!Total:!!Boat, RV, van, etc."
36,"Annotation of Margin of Error!!Total:!!Boat, RV, van, etc."
